add device 1: /dev/input/event6
  name:     "gpio"
add device 2: /dev/input/event5
  name:     "input"
could not get driver version for /dev/input/mouse0, Not a typewriter
add device 3: /dev/input/event4
  name:     "Android Power Button"
add device 4: /dev/input/event3
  name:     "VirtualBox mouse integration"
add device 5: /dev/input/event1
  name:     "Sleep Button"
add device 6: /dev/input/event0
  name:     "Power Button"
add device 7: /dev/input/event2
  name:     "Video Bus"
could not get driver version for /dev/input/mice, Not a typewriter
/dev/input/event5: 0003 0039 00000178
/dev/input/event5: 0001 014a 00000001
/dev/input/event5: 0003 0035 00004427
/dev/input/event5: 0003 0036 00001b69
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001b59
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001b48
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001b26
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001b15
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001af4
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001ad3
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0035 00004437
/dev/input/event5: 0003 0036 00001ac3
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001ab2
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001aa0
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001a90
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001a7f
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001a6f
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001a5e
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001a3d
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001a2d
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001a1c
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001a0a
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000019fa
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000019e9
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000019d9
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000019c8
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000019b8
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000019a7
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001997
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001986
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001974
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001953
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001943
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001932
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001922
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001901
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000018f0
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000018de
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000018ce
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000018bd
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000018ad
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000189c
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000188c
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000187b
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000186b
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000185a
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001838
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001817
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001806
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000017f6
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000017e5
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000017c4
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000017b2
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000017a2
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001791
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001781
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001760
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000174f
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000172e
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000171c
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 0000170c
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000016fb
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000016eb
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000016da
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000016ca
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 000016a9
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001686
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001676
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001655
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001644
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001634
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001623
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0036 00001613
/dev/input/event5: 0000 0000 00000000
/dev/input/event5: 0003 0039 ffffffff
/dev/input/event5: 0001 014a 00000000
/dev/input/event5: 0000 0000 00000000
